TID;OMRÅDE;KØN;ALDER;CIVILSTAND;INDHOLD
2008K1;Hele landet;I alt;77 år;I alt;31499
2008K1;Hele landet;I alt;77 år;Ugift;1620
2008K1;Hele landet;I alt;77 år;Gift/separeret;15998
2008K1;Hele landet;I alt;77 år;Enke/enkemand;11087
2008K1;Hele landet;I alt;77 år;Fraskilt;2794
2008K1;Hele landet;I alt;78 år;I alt;29739
2008K1;Hele landet;I alt;78 år;Ugift;1607
2008K1;Hele landet;I alt;78 år;Gift/separeret;14282
2008K1;Hele landet;I alt;78 år;Enke/enkemand;11160
2008K1;Hele landet;I alt;78 år;Fraskilt;2690
2008K1;Hele landet;I alt;79 år;I alt;28957
2008K1;Hele landet;I alt;79 år;Ugift;1562
2008K1;Hele landet;I alt;79 år;Gift/separeret;13360
2008K1;Hele landet;I alt;79 år;Enke/enkemand;11626
2008K1;Hele landet;I alt;79 år;Fraskilt;2409
2008K1;Hele landet;I alt;80 år;I alt;26518
2008K1;Hele landet;I alt;80 år;Ugift;1388
2008K1;Hele landet;I alt;80 år;Gift/separeret;11320
2008K1;Hele landet;I alt;80 år;Enke/enkemand;11645
2008K1;Hele landet;I alt;80 år;Fraskilt;2165
2008K1;Hele landet;I alt;81 år;I alt;25507
2008K1;Hele landet;I alt;81 år;Ugift;1309
2008K1;Hele landet;I alt;81 år;Gift/separeret;10379
2008K1;Hele landet;I alt;81 år;Enke/enkemand;11869
2008K1;Hele landet;I alt;81 år;Fraskilt;1950
2008K1;Hele landet;I alt;82 år;I alt;23820
2008K1;Hele landet;I alt;82 år;Ugift;1211
2008K1;Hele landet;I alt;82 år;Gift/separeret;8989
2008K1;Hele landet;I alt;82 år;Enke/enkemand;11869
2008K1;Hele landet;I alt;82 år;Fraskilt;1751
2008K1;Hele landet;I alt;83 år;I alt;22287
2008K1;Hele landet;I alt;83 år;Ugift;1192
2008K1;Hele landet;I alt;83 år;Gift/separeret;7856
2008K1;Hele landet;I alt;83 år;Enke/enkemand;11674
2008K1;Hele landet;I alt;83 år;Fraskilt;1565
2008K1;Hele landet;I alt;84 år;I alt;20064
2008K1;Hele landet;I alt;84 år;Ugift;1104
2008K1;Hele landet;I alt;84 år;Gift/separeret;6323
2008K1;Hele landet;I alt;84 år;Enke/enkemand;11272
2008K1;Hele landet;I alt;84 år;Fraskilt;1365
2008K1;Hele landet;I alt;85 år;I alt;17654
2008K1;Hele landet;I alt;85 år;Ugift;961
2008K1;Hele landet;I alt;85 år;Gift/separeret;5196
2008K1;Hele landet;I alt;85 år;Enke/enkemand;10287
2008K1;Hele landet;I alt;85 år;Fraskilt;1210
2008K1;Hele landet;I alt;86 år;I alt;16871
2008K1;Hele landet;I alt;86 år;Ugift;916
2008K1;Hele landet;I alt;86 år;Gift/separeret;4359
2008K1;Hele landet;I alt;86 år;Enke/enkemand;10474
2008K1;Hele landet;I alt;86 år;Fraskilt;1122
2008K1;Hele landet;I alt;87 år;I alt;15026
2008K1;Hele landet;I alt;87 år;Ugift;795
2008K1;Hele landet;I alt;87 år;Gift/separeret;3575
2008K1;Hele landet;I alt;87 år;Enke/enkemand;9740
2008K1;Hele landet;I alt;87 år;Fraskilt;916
2008K1;Hele landet;I alt;88 år;I alt;11375
2008K1;Hele landet;I alt;88 år;Ugift;635
2008K1;Hele landet;I alt;88 år;Gift/separeret;2426
2008K1;Hele landet;I alt;88 år;Enke/enkemand;7628
2008K1;Hele landet;I alt;88 år;Fraskilt;686
2008K1;Hele landet;I alt;89 år;I alt;10038
2008K1;Hele landet;I alt;89 år;Ugift;558
2008K1;Hele landet;I alt;89 år;Gift/separeret;1949
2008K1;Hele landet;I alt;89 år;Enke/enkemand;6922
2008K1;Hele landet;I alt;89 år;Fraskilt;609
2008K1;Hele landet;I alt;90 år;I alt;8117
2008K1;Hele landet;I alt;90 år;Ugift;457
